song_name,most_common_hum,n_hums,n_regulars,percent_hums
Young Lady (Ft. Father John Misty),NONE,0,329,0
XX Intro Freestyle,NONE,0,2,0
Wounds,hmmm,13,176,0.06878306878306878
Worth,oh,8,365,0.021447721179624665
Won't You Tell Me (Ft. Ricky Hil),NONE,0,254,0
Wild'n Cuz I'm Young,NONE,0,573,0
Whenever,NONE,0,268,0
Welcome To The World,NONE,0,310,0
Wedding Tux,NONE,0,141,0
We Aite (Wake Your Mind Up),hm,7,84,0.07692307692307693
WAIT! (Rehearsal Demo),NONE,0,100,0
Up Up & Away,hey,1,524,0.0019047619047619048
Unfuckwittable,oh,2,183,0.010810810810810811
Twitter Rant (September 2016),NONE,0,265,0
Twitter Note 3 (2015),NONE,0,9,0
Twitter Note 2 (2015),NONE,0,117,0
Twitter Note (2015),NONE,0,15,0
Troubled Boy,NONE,0,178,0
Trippy (Ft. Ricky Hil),NONE,0,240,0
Tree (Ft. Wiz Khalifa),NONE,0,435,0
Trauma,NONE,0,109,0
Trapped in My Mind,oh,38,340,0.10052910052910052
Too Bad I Have To Destroy You Now,NONE,0,522,0
To Da Top,NONE,0,533,0
Tim Westwood Freestyle,oh,23,937,0.023958333333333335
These Worries (Ft. Mary J. Blige),NONE,0,333,0
The Ruler and the Killer,hey,8,368,0.02127659574468085
The Return of Chip Douglas (Demo),oh,3,252,0.011764705882352941
The Resurrection of Scott Mescudi,NONE,0,12,0
The Rage,na,113,542,0.17251908396946564
The Prayer,hey,4,377,0.010498687664041995
The Nothing,NONE,0,120,0
The Mood,NONE,0,239,0
The Guide (Ft. André 3000),ooh,24,513,0.0446927374301676
"The End (Ft. GLC, King Chip & Nicole Wray)",hey,3,655,0.004559270516717325
The Commander,ahh,22,392,0.05314009661835749
The Biggest Grinder,NONE,0,473,0
That Girl,oh,7,144,0.046357615894039736
T.G.I.F. (Ft. King Chip),ay,5,424,0.011655011655011656
Takeover Freestyle,hey,5,492,0.01006036217303823
Switching Lanes,NONE,0,522,0
Swim in the Light,hmmm,1,220,0.004524886877828055
Surfin' (Ft. Pharrell Williams),aaa,46,855,0.051054384017758046
Super Boo,NONE,0,471,0
Sunrise,hey,3,450,0.006622516556291391
Stubborn*,NONE,0,33,0
Spontaneously Combust,NONE,0,760,0
Speedin' Bullet 2 Heaven (Acoustic Demo),hmm,10,223,0.04291845493562232
Speedin' Bullet 2 Heaven,oh,6,223,0.026200873362445413
Soundtrack 2 My Life,NONE,0,578,0
Solo Dolo Part II (Ft. Kendrick Lamar),mmm,2,474,0.004201680672268907
Solo Dolo (Nightmare),oh,18,310,0.054878048780487805
Sky Might Fall,na,23,466,0.04703476482617587
Sky High,hey,1,244,0.004081632653061225
Skit - Jerry Maguire from Cleveland,NONE,0,222,0
Skit - Foggy Glasses,oh,1,101,0.00980392156862745
Skit 1,oh,7,305,0.022435897435897436
Simple As...,hmm,1,447,0.002232142857142857
Silent Fire,NONE,0,68,0
Shed A Little Light,NONE,0,480,0
Screwed,ayy,8,77,0.09411764705882353
Scott Mescudi vs. the World (Ft. CeeLo Green),ayy,5,424,0.011655011655011656
Save My Soul (The Cudi Confession),oh,2,297,0.006688963210702341
Satellite Flight: The Journey to Mother Moon Album Art,NONE,0,54,0
SATELLITE FLIGHT,NONE,0,376,0
Rose Golden (Ft. WILLOW),na,54,506,0.09642857142857143
REVOFEV,ooh,47,264,0.15112540192926044
Releaser (Ft. Kacy Hill),hmm,32,117,0.21476510067114093
Red Sabbath,oh,1,313,0.0031847133757961785
Red Eye (Ft. HAIM),oh,13,454,0.027837259100642397
