song_name,n_hums,n_regulars,most_common_hum,song_release_date,album_name,song_art_image_url,song_pageviews,song_id,song_lyrics_url,song_annotation_count,artist_id,artist_name,artist_url,album_id,album_url,percent_hums,rank
Copernicus Landing,75,0,uh,2014-02-25,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,https://images.genius.com/f93aafaafd092a8bb9b2224aea7385f6.670x670x1.jpg,27690,369644,https://genius.com/Kid-cudi-copernicus-landing-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,67138,https://genius.com/albums/Kid-cudi/Kid-cudi-presents-satellite-flight-the-journey-to-mother-moon,1,1
Beautiful Trip,3,4,oh,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,28752,6250761,https://genius.com/Kid-cudi-beautiful-trip-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.42857142857142855,1
Sept. 16,84,240,na,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,75887,6250777,https://genius.com/Kid-cudi-sept-16-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.25925925925925924,2
Immortal,88,290,hmmm,2013-03-14,Indicud,https://images.genius.com/c3386ff460b47f648b1c6630fd54fdbb.500x500x1.jpg,333695,122383,https://genius.com/Kid-cudi-immortal-lyrics,9,68,Kid Cudi,https://genius.com/artists/Kid-cudi,20193,https://genius.com/albums/Kid-cudi/Indicud,0.2328042328042328,1
Releaser (Ft. Kacy Hill),32,117,hmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,120740,2867508,https://genius.com/Kid-cudi-releaser-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.21476510067114093,1
The Rage,129,526,na,2018-04-13,Rampage (Original Motion Picture Soundtrack),https://images.genius.com/f4d2ec0f0f6affdb61e28bfb118a678a.1000x1000x1.jpg,42332,3646080,https://genius.com/Kid-cudi-the-rage-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,419298,https://genius.com/albums/Andrew-lockington/Rampage-original-motion-picture-soundtrack,0.1969465648854962,1
Marijuana,66,298,la,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,214246,1835,https://genius.com/Kid-cudi-marijuana-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.1813186813186813,1
Alive (Nightmare),78,355,na,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,122193,4078,https://genius.com/Kid-cudi-alive-nightmare-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,0.18013856812933027,1
Insides Out,21,103,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,14346,2375553,https://genius.com/Kid-cudi-insides-out-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.1693548387096774,1
Edge of the Earth / Post Mortem Boredom,41,215,na,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,59276,2383401,https://genius.com/Kid-cudi-edge-of-the-earth-post-mortem-boredom-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.16015625,2
